Time,Class,Score,Distance (m),Speed (m/s),Latitude,Longitude
2024-09-29 14:47:01,Human face,0.7469837,,,19.376520833333334,72.82242968749999
2024-09-29 14:47:02,Human face,0.75494134,,,19.376520833333334,72.82242968749999
2024-09-29 14:47:02,Human face,0.76260424,,,19.376520833333334,72.82243749999999
2024-09-29 14:47:02,Human face,0.75598246,,,19.376520833333334,72.82242968749999
2024-09-29 14:47:02,Human face,0.75853336,,,19.376520833333334,72.82243749999999
2024-09-29 14:47:02,Human face,0.770942,,,19.37653125,72.82246875
2024-09-29 14:47:02,Human face,0.7891754,,,19.37653125,72.8225859375
2024-09-29 14:47:02,Man,0.33180055,,,19.376416666666668,72.8226640625
2024-09-29 14:47:02,Human face,0.7549867,,,19.3765625,72.822671875
2024-09-29 14:47:02,Man,0.3714991,,,19.376416666666668,72.82271874999999
2024-09-29 14:47:02,Human face,0.7152098,,,19.376583333333333,72.8227421875
2024-09-29 14:47:02,Human face,0.79743385,,,19.376572916666667,72.822828125
2024-09-29 14:47:02,Man,0.3431095,,,19.376437499999998,72.8226953125
2024-09-29 14:47:03,Human face,0.77016765,,,19.376604166666667,72.822953125
2024-09-29 14:47:03,Human face,0.77615404,,,19.376572916666667,72.8230234375
2024-09-29 14:47:03,Human face,0.75628746,,,19.376583333333333,72.823046875
2024-09-29 14:47:03,Human face,0.78703296,,,19.376583333333333,72.8230625
2024-09-29 14:47:03,Human face,0.7800059,,,19.376583333333333,72.8230703125
2024-09-29 14:47:03,Human face,0.82146335,,,19.376572916666667,72.8230625
2024-09-29 14:47:03,Human face,0.7957905,,,19.376572916666667,72.8230625
2024-09-29 14:47:03,Human face,0.79525197,,,19.376583333333333,72.823046875
2024-09-29 14:47:03,Human face,0.79012513,,,19.376572916666667,72.8230546875
2024-09-29 14:47:03,Human face,0.80539817,,,19.376572916666667,72.8230546875
2024-09-29 14:47:03,Human face,0.81137747,,,19.376572916666667,72.8230546875
2024-09-29 14:47:04,Human face,0.8117266,,,19.3765625,72.8230546875
2024-09-29 14:47:04,Human face,0.7990427,,,19.376572916666667,72.823046875
2024-09-29 14:47:04,Human face,0.77965724,,,19.376572916666667,72.8230546875
2024-09-29 14:47:04,Human face,0.787891,,,19.376572916666667,72.8230546875
2024-09-29 14:47:04,Human face,0.7692058,,,19.376572916666667,72.8230546875
2024-09-29 14:47:04,Human face,0.7791104,,,19.3765625,72.823046875
2024-09-29 14:47:04,Human face,0.7959017,,,19.3765625,72.823046875
2024-09-29 14:47:04,Human face,0.7940298,,,19.3765625,72.8230546875
2024-09-29 14:47:04,Human face,0.78779864,,,19.3765625,72.8230546875
2024-09-29 14:47:05,Human face,0.77925795,,,19.376583333333333,72.82303125
2024-09-29 14:47:05,Human face,0.80224943,,,19.376614583333332,72.8230234375
2024-09-29 14:47:05,Human face,0.790624,,,19.376708333333333,72.823
2024-09-29 14:47:05,Human face,0.774343,,,19.37677083333333,72.822984375
2024-09-29 14:47:05,Man,0.3082321,,,19.376395833333333,72.8227421875
2024-09-29 14:47:05,Human face,0.78804386,,,19.37677083333333,72.8229140625
2024-09-29 14:47:05,Man,0.3571742,,,19.376395833333333,72.8226640625
2024-09-29 14:47:05,Human face,0.8250313,,,19.3768125,72.822890625
2024-09-29 14:47:05,Human face,0.83006126,,,19.376791666666666,72.822859375
2024-09-29 14:47:05,Human face,0.80953723,,,19.3768125,72.82284375
2024-09-29 14:47:05,Human face,0.80452925,,,19.376791666666666,72.8228359375
2024-09-29 14:47:05,Human face,0.8227426,,,19.376791666666666,72.8228359375
2024-09-29 14:47:06,Human face,0.83233505,,,19.376791666666666,72.822828125
2024-09-29 14:47:06,Human face,0.8239683,,,19.376791666666666,72.8228203125
2024-09-29 14:47:06,Human face,0.8212111,,,19.376791666666666,72.8228203125
2024-09-29 14:47:06,Human face,0.82969284,,,19.376791666666666,72.8228203125
2024-09-29 14:47:06,Human face,0.8298377,,,19.376791666666666,72.8228203125
2024-09-29 14:47:06,Human face,0.837027,,,19.37678125,72.8228203125
2024-09-29 14:47:06,Human face,0.8415111,,,19.376791666666666,72.8228203125
2024-09-29 14:47:06,Human face,0.8425203,,,19.376791666666666,72.8228125
2024-09-29 14:47:06,Human face,0.8386516,,,19.37677083333333,72.8228046875
2024-09-29 14:47:06,Human face,0.8309006,,,19.376729166666667,72.8228125
2024-09-29 14:47:07,Human face,0.8022314,,,19.376604166666667,72.8228125
2024-09-29 14:47:07,Man,0.313946,,,19.376437499999998,72.8226953125
2024-09-29 14:47:07,Human face,0.8050659,,,19.3765,72.8228125
2024-09-29 14:47:07,Human face,0.7955893,,,19.3765,72.8228046875
2024-09-29 14:47:07,Human face,0.8350193,,,19.3765,72.822796875
2024-09-29 14:47:07,Human face,0.8256368,,,19.376458333333332,72.8228046875
2024-09-29 14:47:07,Human face,0.861416,,,19.376479166666666,72.8228046875
2024-09-29 14:47:07,Human face,0.82197684,,,19.376479166666666,72.822796875
2024-09-29 14:47:07,Human face,0.8266418,,,19.376479166666666,72.822796875
2024-09-29 14:47:07,Human face,0.66540164,,,19.376458333333332,72.8227578125
2024-09-29 14:47:07,Human face,0.67712367,,,19.37648958333333,72.8226953125
2024-09-29 14:47:08,Human face,0.7064457,,,19.376520833333334,72.822609375
2024-09-29 14:47:08,Human face,0.7282482,,,19.37653125,72.8226015625
2024-09-29 14:47:08,Human face,0.7217238,,,19.376520833333334,72.82259375
2024-09-29 14:47:08,Man,0.32086557,,,19.376427083333333,72.8227421875
2024-09-29 14:47:08,Human face,0.743855,,,19.37653125,72.8226328125
2024-09-29 14:47:08,Man,0.31037,,,19.37640625,72.8227421875
2024-09-29 14:47:08,Human face,0.6888064,,,19.37653125,72.822671875
2024-09-29 14:47:08,Human face,0.7243107,,,19.3765625,72.8226953125
2024-09-29 14:47:08,Human face,0.7288577,,,19.3765625,72.8227265625
2024-09-29 14:47:08,Human face,0.7601653,,,19.376572916666667,72.82275
2024-09-29 14:47:08,Human face,0.7855922,,,19.376572916666667,72.8227578125
2024-09-29 14:47:08,Human face,0.79619724,,,19.376583333333333,72.8227578125
2024-09-29 14:47:09,Human face,0.81797886,,,19.376572916666667,72.8227578125
2024-09-29 14:47:09,Human face,0.80219066,,,19.376552083333333,72.822765625
2024-09-29 14:47:09,Human face,0.7744028,,,19.37653125,72.822765625
2024-09-29 14:47:09,Human face,0.79295367,,,19.376552083333333,72.8227734375
2024-09-29 14:47:09,Human face,0.79810876,,,19.376541666666668,72.822765625
2024-09-29 14:47:09,Human face,0.7982617,,,19.376552083333333,72.8227578125
2024-09-29 14:47:09,Human face,0.8044646,,,19.3765625,72.82275
2024-09-29 14:47:09,Human face,0.7881222,,,19.3765625,72.82275
2024-09-29 14:47:09,Human face,0.77156186,,,19.3765625,72.82275
2024-09-29 14:47:10,Human face,0.77089405,,,19.3765625,72.82275
2024-09-29 14:47:10,Human face,0.77441,,,19.376583333333333,72.8227578125
2024-09-29 14:47:10,Human face,0.77732307,,,19.376583333333333,72.82275
2024-09-29 14:47:10,Human face,0.7635329,,,19.37659375,72.82275
2024-09-29 14:47:10,Human face,0.7424502,,,19.376604166666667,72.82275
2024-09-29 14:47:10,Human face,0.75049615,,,19.376614583333332,72.82275
2024-09-29 14:47:10,Human face,0.7229326,,,19.37659375,72.82275
2024-09-29 14:47:10,Human face,0.76250184,,,19.37659375,72.82275
2024-09-29 14:47:10,Human face,0.748103,,,19.37659375,72.8227578125
2024-09-29 14:47:10,Human face,0.72721857,,,19.376604166666667,72.822765625
2024-09-29 14:47:10,Human face,0.71268976,,,19.376635416666666,72.8227578125
2024-09-29 14:47:11,Human face,0.66996443,,,19.3766875,72.8227421875
2024-09-29 14:47:11,Human face,0.7166004,,,19.376697916666668,72.8227421875
2024-09-29 14:47:11,Human face,0.7582445,,,19.376729166666667,72.82275
2024-09-29 14:47:11,Human face,0.737485,,,19.376739583333332,72.8227578125
2024-09-29 14:47:11,Human face,0.7626408,,,19.37677083333333,72.8227734375
2024-09-29 14:47:11,Human face,0.7688915,,,19.376791666666666,72.82278125
2024-09-29 14:47:11,Human face,0.76814115,,,19.37678125,72.82278125
2024-09-29 14:47:11,Human face,0.77124864,,,19.376760416666666,72.8227734375
2024-09-29 14:47:11,Human face,0.75667065,,,19.376760416666666,72.82278125
2024-09-29 14:47:12,Human face,0.75398874,,,19.37675,72.8227734375
2024-09-29 14:47:12,Human face,0.75912184,,,19.376760416666666,72.8227734375
2024-09-29 14:47:12,Human face,0.7810148,,,19.376760416666666,72.82278125
2024-09-29 14:47:12,Human face,0.758129,,,19.376739583333332,72.8227890625
2024-09-29 14:47:12,Human face,0.792718,,,19.376739583333332,72.8228125
2024-09-29 14:47:12,Human face,0.82209593,,,19.376739583333332,72.8228203125
2024-09-29 14:47:12,Human face,0.81373566,,,19.37671875,72.8228203125
2024-09-29 14:47:12,Human face,0.81006867,,,19.376729166666667,72.8228203125
2024-09-29 14:47:12,Human face,0.8472696,,,19.37671875,72.8228359375
2024-09-29 14:47:12,Human face,0.837631,,,19.37671875,72.8228515625
